taxonOrder,taxonFamily,ncbiNumberOfSpecies,boldNumberOfSpecies,boldNumberOfSequences,dcMNumberOfSpecies,dcF346FreshwaterNumberOfSpecies,S2I3C66MNumberOfSpecies,S2I3C75FNumberOfSpecies,S2I4C29MNumberOfSpecies,S2I5C32FNumberOfSpecies,S3I2C74MNumberOfSpecies,S3I2C75FNumberOfSpecies,S8I2C36MNumberOfSpecies,S8I2C34FNumberOfSpecies,dcMNumberOfSequences,dcF346FreshwaterNumberOfSequences,S2I3C66MNumberOfSequences,S2I3C75FNumberOfSequences,S2I4C29MNumberOfSequences,S2I5C32FNumberOfSequences,S3I2C74MNumberOfSequences,S3I2C75FNumberOfSequences,S8I2C36MNumberOfSequences,S8I2C34FNumberOfSequences
Acipenseriformes,Acipenseridae,64,10,62,4,1,3,1,0,1,4,1,2,1,13,2,11,2,0,2,13,2,8,2
Acipenseriformes,Polyodontidae,2,1,3,0,1,0,1,0,1,0,1,0,1,0,3,0,2,0,2,0,3,0,2
Lepisosteiformes,Lepisosteidae,9,3,12,0,3,0,3,0,1,0,2,0,1,0,9,0,8,0,1,0,8,0,4
Amiiformes,Amiidae,1,1,9,0,1,0,1,0,1,0,1,0,1,0,9,0,8,0,5,0,9,0,9
Elopiformes,Elopidae,8,4,20,4,0,4,0,3,0,4,0,4,0,19,0,19,0,14,0,19,0,18,0
Elopiformes,Megalopidae,3,2,28,2,0,2,0,2,0,2,0,2,0,27,0,23,0,13,0,22,0,22,0
Anguilliformes,Anguillidae,22,7,77,6,0,5,0,3,0,6,0,5,0,43,0,36,0,24,0,43,0,37,0
Anguilliformes,Congridae,179,22,119,22,0,16,0,7,0,22,0,22,0,110,0,89,0,29,0,103,0,101,0
Anguilliformes,Muraenesocidae,9,2,5,2,0,2,0,0,0,2,0,2,0,5,0,5,0,0,0,5,0,5,0
Cypriniformes,Cyprinidae,3336,645,6055,128,393,110,341,72,152,121,381,92,295,797,3714,671,3274,438,1971,737,3529,557,2648
Cypriniformes,Catostomidae,118,35,298,0,32,0,32,0,16,0,29,0,25,0,274,0,251,0,94,0,250,0,190
Cypriniformes,Cobitidae,346,35,166,21,6,18,6,6,6,19,6,14,5,82,41,73,37,30,29,76,38,55,35
Characiformes,Anostomidae,109,29,527,0,27,0,27,0,17,0,27,0,23,0,517,0,515,0,384,0,517,0,489
Characiformes,Characidae,1057,139,2310,0,132,0,127,0,88,0,130,0,86,0,2191,0,2142,0,1386,0,2026,0,1116
Siluriformes,Ictaluridae,64,25,198,0,24,0,23,0,9,0,24,0,23,0,183,0,163,0,62,0,178,0,148
Siluriformes,Pangasiidae,41,4,33,2,2,1,1,1,1,2,2,2,2,6,25,4,19,4,19,6,18,6,18
Esociformes,Esocidae,10,6,157,5,0,3,0,3,0,5,0,3,0,25,0,14,0,8,0,22,0,10,0
Osmeriformes,Osmeridae,15,9,227,9,0,9,0,8,0,9,0,8,0,137,0,111,0,77,0,104,0,75,0
Salmoniformes,Salmonidae,355,55,1185,35,1,33,1,22,1,32,1,25,1,419,6,406,6,253,5,362,6,173,6
Gadiformes,Gadidae,33,35,741,35,0,34,0,24,0,35,0,33,0,567,0,399,0,160,0,540,0,406,0
Gadiformes,Merlucciidae,26,10,337,9,0,9,0,4,0,9,0,6,0,309,0,285,0,228,0,287,0,96,0
Batrachoidiformes,Batrachoididae,42,8,38,8,0,8,0,7,0,8,0,8,0,36,0,35,0,31,0,36,0,35,0
Lophiiformes,Lophiidae,20,5,73,5,0,5,0,2,0,5,0,5,0,58,0,39,0,14,0,57,0,40,0
Cyprinodontiformes,Cyprinodontidae,232,31,169,17,3,12,1,6,1,15,3,14,1,113,6,90,3,41,3,100,6,82,3
Cyprinodontiformes,Poeciliidae,280,49,442,19,26,18,20,15,17,18,26,10,15,173,158,158,136,125,90,143,152,63,105
Scorpaeniformes,Cottidae,261,89,1048,76,0,67,0,49,0,74,0,69,0,740,0,570,0,257,0,698,0,552,0
Scorpaeniformes,Cyclopteridae,20,14,179,14,0,14,0,11,0,13,0,7,0,154,0,140,0,96,0,135,0,72,0
Scorpaeniformes,Scorpaenidae,157,124,2110,120,0,117,0,89,0,117,0,116,0,2079,0,1966,0,1587,0,2056,0,1994,0
Cichliformes,Cichlidae,2679,95,1050,1,82,1,68,1,57,1,79,0,69,13,920,13,826,7,676,6,883,0,600
Carangiformes,Carangidae,191,81,1423,79,0,77,0,64,0,79,0,79,0,1355,0,1226,0,638,0,1329,0,1182,0
Perciformes,Percichthyidae,29,9,30,0,1,0,1,0,1,0,3,0,1,0,1,0,1,0,1,0,13,0,1
Perciformes,Percidae,294,173,1783,3,163,3,150,2,32,3,162,3,153,28,1545,21,1364,18,479,27,1515,20,1188
Spariformes,Sparidae,150,89,1191,88,0,85,0,59,0,88,0,84,0,1161,0,1007,0,688,0,1157,0,1066,0
Perciformes,Centrarchidae,44,25,307,0,25,0,22,0,10,0,24,0,20,0,295,0,255,0,138,0,286,0,197
Perciformes,Centropomidae,22,6,92,6,0,5,0,4,0,6,0,5,0,78,0,66,0,35,0,78,0,61,0
Mugiliformes,Mugilidae,110,36,286,34,1,28,1,19,0,34,1,33,1,258,2,211,1,111,0,255,1,225,1
Scorpaeniformes,Zoarcidae,177,62,583,57,0,51,0,42,0,54,0,46,0,523,0,426,0,235,0,444,0,344,0
Scorpaeniformes,Anarhichadidae,5,4,21,3,0,2,0,1,0,3,0,3,0,16,0,12,0,3,0,15,0,15,0
Perciformes,Nototheniidae,53,35,425,25,0,22,0,18,0,25,6,20,0,272,0,230,0,184,0,241,65,168,0
Perciformes,Bathydraconidae,19,13,119,13,0,13,0,10,0,13,0,10,0,116,0,100,0,80,0,114,0,82,0
Gobiiformes,Gobiidae,1568,283,2420,269,7,246,7,140,2,266,7,250,6,2183,40,1928,40,1166,9,2112,37,1864,28
Scombriformes,Scombridae,83,37,871,35,0,33,0,26,0,35,0,34,0,837,0,773,0,533,0,767,0,530,0
Istiophoriformes,Xiphiidae,1,1,16,1,0,1,0,1,0,1,0,1,0,13,0,4,0,3,0,12,0,4,0
Labriformes,Labridae,560,200,1558,196,0,180,0,90,0,195,0,184,0,1529,0,1305,0,622,0,1506,0,1339,0
Pleuronectiformes,Bothidae,96,19,143,19,0,16,0,11,0,19,0,19,0,134,0,100,0,63,0,134,0,123,0
Pleuronectiformes,Pleuronectidae,73,44,658,39,0,37,0,32,0,39,0,38,0,576,0,429,0,206,0,560,0,448,0
Osteoglossiformes,Pantodontidae,1,1,4,0,1,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,4,0,4
Trachichthyiformes,Anomalopidae,3,1,3,1,0,1,0,0,0,1,0,1,0,3,0,3,0,0,0,3,0,3,0
Trachichthyiformes,Polypteridae,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trachichthyiformes,Ctenoluciidae,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Characiformes,Prochilodontidae,31,7,79,0,7,0,6,0,2,0,7,0,7,0,79,0,75,0,29,0,79,0,77
Characiformes,Erythrinidae,52,4,138,0,4,0,4,0,4,0,4,0,4,0,138,0,138,0,74,0,138,0,128
Osteoglossiformes,Osteoglossidae,14,3,17,0,3,0,3,0,3,0,2,0,2,0,17,0,16,0,16,0,7,0,6
Carangiformes,Coryphaenidae,3,1,54,1,0,1,0,1,0,1,0,1,0,51,0,49,0,41,0,51,0,48,0
Scombriformes,Gempylidae,23,6,39,6,0,6,0,6,0,6,0,6,0,37,0,35,0,22,0,35,0,26,0
Istiophoriformes,Istiophoridae,15,9,101,7,0,5,0,5,0,7,0,6,0,50,0,41,0,32,0,49,0,36,0
Istiophoriformes,Sphyraenidae,32,12,124,12,0,11,0,7,0,12,0,12,0,117,0,92,0,67,0,117,0,115,0
Scombriformes,Trichiuridae,51,7,150,7,0,7,0,5,0,6,0,5,0,144,0,143,0,97,0,60,0,59,0
Scorpaeniformes,Triglidae,74,20,217,19,0,17,0,11,0,18,0,17,0,202,0,172,0,93,0,197,0,178,0
Cyprinodontiformes,Fundulidae,45,20,104,12,1,10,1,9,0,12,1,4,1,38,4,29,4,20,0,36,4,11,4
Cyprinodontiformes,Goodeidae,51,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprinodontiformes,Profundulidae,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprinodontiformes,Aplocheilidae,12,10,44,2,6,2,4,2,1,1,6,1,2,5,26,5,23,5,11,2,26,1,13
Gonorynchiformes,Chanidae,1,1,19,1,0,1,0,1,0,1,0,1,0,19,0,18,0,7,0,19,0,18,0
Acanthuriformes,Acanthuridae,100,44,559,44,0,44,0,20,0,44,0,44,0,551,0,508,0,184,0,535,0,480,0
Atheriniformes,Melanotaeniidae,137,42,321,1,33,1,32,0,32,1,30,1,20,5,277,4,275,0,275,4,246,4,145
Characiformes,Lebiasinidae,16,2,14,0,2,0,2,0,2,0,2,0,2,0,14,0,14,0,10,0,14,0,14
Characiformes,Hepsetidae,7,1,15,0,1,0,1,0,1,0,1,0,1,0,15,0,15,0,15,0,15,0,15
Characiformes,Hemiodontidae,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Characiformes,Gasteropelecidae,12,1,6,0,1,0,1,0,0,0,1,0,1,0,6,0,6,0,0,0,6,0,6
Characiformes,Curimatidae,91,14,106,0,14,0,14,0,10,0,14,0,13,0,106,0,106,0,63,0,106,0,102
Characiformes,Citharinidae,20,30,172,0,29,0,15,0,4,0,27,0,27,0,162,0,61,0,28,0,148,0,148
Characiformes,Gyrinocheilidae,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadiformes,Bregmacerotidae,37,1,2,1,0,1,0,1,0,1,0,1,0,2,0,2,0,2,0,2,0,2,0
Gadiformes,Melanonidae,2,2,7,2,0,2,0,1,0,2,0,2,0,7,0,4,0,1,0,7,0,4,0
Gadiformes,Moridae,44,15,121,13,0,9,0,5,0,11,0,8,0,88,0,65,0,42,0,72,0,40,0
Gadiformes,Muraenolepididae,6,2,12,2,0,2,0,2,0,2,0,2,0,12,0,7,0,5,0,10,0,6,0
Gadiformes,Macrouridae,151,33,222,33,0,27,0,13,0,32,0,30,0,205,0,170,0,75,0,191,0,153,0
Gonorynchiformes,Kneriidae,17,1,2,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,2,0,2,0,2
Gonorynchiformes,Gonorynchidae,4,2,14,2,0,2,0,2,0,2,0,2,0,14,0,14,0,13,0,14,0,14,0
Gymnotiformes,Apteronotidae,60,1,4,0,1,0,1,0,1,0,1,0,1,0,4,0,2,0,1,0,4,0,4
Gymnotiformes,Hypopomidae,37,1,5,0,1,0,1,0,1,0,1,0,1,0,5,0,5,0,5,0,5,0,5
Gymnotiformes,Rhamphichthyidae,22,3,19,0,3,0,3,0,2,0,3,0,2,0,19,0,19,0,15,0,19,0,16
Gymnotiformes,Sternopygidae,49,3,51,0,3,0,3,0,3,0,3,0,3,0,51,0,51,0,27,0,51,0,51
Gymnotiformes,Gymnotidae,55,6,65,0,6,0,6,0,6,0,6,0,6,0,65,0,65,0,46,0,61,0,56
Perciformes,Channichthyidae,18,15,180,15,0,13,0,11,0,15,0,12,0,173,0,145,0,90,0,161,0,128,0
Perciformes,Chaetodontidae,127,49,347,49,0,46,0,19,0,49,0,49,0,347,0,319,0,129,0,347,0,341,0
Perciformes,Haemulidae,131,44,372,43,0,41,0,29,0,43,0,43,0,353,0,293,0,214,0,349,0,337,0
Perciformes,Kuhliidae,12,10,36,9,0,8,0,1,0,8,0,7,0,32,0,29,0,4,0,29,0,25,0
Perciformes,Kyphosidae,40,4,45,4,0,4,0,3,0,4,0,4,0,43,0,42,0,35,0,43,0,43,0
Perciformes,Lactariidae,1,1,8,1,0,1,0,0,0,1,0,1,0,5,0,4,0,0,0,5,0,4,0
Perciformes,Leiognathidae,80,13,140,13,0,9,0,2,0,13,0,13,0,135,0,110,0,32,0,135,0,131,0
Perciformes,Leptobramidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spariformes,Lethrinidae,54,23,145,23,0,20,0,10,0,22,0,22,0,138,0,113,0,62,0,135,0,130,0
Spariformes,Lobotidae,2,1,13,1,0,1,0,1,0,1,0,1,0,13,0,12,0,8,0,13,0,13,0
Perciformes,Lutjanidae,171,62,926,62,0,58,0,27,0,61,0,59,0,872,0,785,0,545,0,867,0,834,0
Perciformes,Malacanthidae,25,11,62,11,0,10,0,5,0,11,0,11,0,62,0,54,0,22,0,61,0,60,0
Carangiformes,Menidae,1,1,28,1,0,1,0,1,0,1,0,1,0,28,0,27,0,4,0,28,0,27,0
Perciformes,Monodactylidae,5,2,36,2,0,2,0,2,0,2,0,2,0,36,0,32,0,18,0,36,0,35,0
Perciformes,Mullidae,72,32,354,32,0,32,0,19,0,31,0,31,0,351,0,298,0,158,0,341,0,329,0
Anabantiformes,Nandidae,6,1,9,0,1,0,1,0,1,0,1,0,1,0,9,0,5,0,1,0,9,0,9
Anabantiformes,Nematistiidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spariformes,Nemipteridae,50,14,91,13,0,12,0,2,0,13,0,13,0,82,0,71,0,16,0,76,0,70,0
Perciformes,Oplegnathidae,8,3,22,3,0,3,0,3,0,3,0,3,0,22,0,20,0,20,0,22,0,22,0
Perciformes,Pempheridae,49,11,65,11,0,11,0,7,0,11,0,11,0,65,0,59,0,35,0,65,0,63,0
Perciformes,Pentacerotidae,13,3,11,2,0,2,0,2,0,2,0,2,0,5,0,5,0,3,0,5,0,5,0
Gobiiformes,Plesiopidae,15,4,15,4,0,4,0,0,0,4,0,4,0,15,0,15,0,0,0,15,0,15,0
Perciformes,Pomacanthidae,82,36,239,36,0,36,0,12,0,36,0,36,0,239,0,231,0,60,0,236,0,230,0
Gobiiformes,Pomacentridae,351,117,1719,115,0,115,0,44,0,115,0,111,0,1711,0,1658,0,1085,0,1706,0,1673,0
Perciformes,Pomatomidae,2,1,22,1,0,1,0,1,0,1,0,1,0,22,0,19,0,17,0,22,0,20,0
Perciformes,Priacanthidae,22,9,110,9,0,9,0,7,0,9,0,9,0,104,0,100,0,57,0,102,0,101,0
Gobiiformes,Pseudochromidae,105,15,68,15,0,15,0,2,0,15,0,15,0,68,0,68,0,7,0,68,0,68,0
Carangiformes,Rachycentridae,2,1,18,1,0,1,0,1,0,1,0,1,0,18,0,15,0,12,0,18,0,17,0
Perciformes,Scatophagidae,3,1,24,1,0,1,0,1,0,1,0,1,0,20,0,19,0,6,0,19,0,19,0
Acanthuriformes,Sciaenidae,222,58,504,55,2,49,2,26,1,55,2,49,2,399,11,353,11,158,8,397,11,362,11
Perciformes,Serranidae,522,149,1241,148,0,141,0,83,0,144,0,139,0,1178,0,1067,0,491,0,1147,0,1091,0
Spariformes,Sillaginidae,39,9,84,9,0,7,0,4,0,9,0,8,0,77,0,64,0,24,0,75,0,71,0
Perciformes,Terapontidae,48,9,98,7,1,6,1,4,1,6,2,6,1,82,6,72,6,25,6,80,14,77,1
Perciformes,Toxotidae,5,1,7,1,0,1,0,0,0,1,0,1,0,7,0,7,0,0,0,7,0,7,0
Scombrolabraciformes,Scombrolabracidae,1,1,2,1,0,1,0,1,0,1,0,1,0,2,0,2,0,2,0,2,0,2,0
Acanthuriformes,Luvaridae,1,1,5,1,0,1,0,1,0,1,0,1,0,5,0,4,0,4,0,5,0,5,0
Scorpaeniformes,Cryptacanthodidae,4,3,8,3,0,3,0,1,0,3,0,3,0,8,0,6,0,1,0,7,0,6,0
Scorpaeniformes,Ptilichthyidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scorpaeniformes,Stichaeidae,56,30,317,30,0,29,0,24,0,29,0,24,0,276,0,218,0,116,0,261,0,188,0
Scorpaeniformes,Zaproridae,1,1,14,1,0,1,0,1,0,1,0,1,0,10,0,10,0,1,0,2,0,1,0
Callionymiformes,Callionymidae,90,24,158,23,0,19,0,12,0,23,0,22,0,156,0,137,0,71,0,156,0,142,0
Anabantiformes,Channidae,86,16,197,9,3,6,2,5,1,9,3,7,3,79,19,70,13,41,4,74,19,55,19
Perciformes,Polynemidae,25,9,440,7,0,6,0,3,0,7,0,6,0,151,0,142,0,117,0,151,0,35,0
Perciformes,Schindleriidae,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleuronectiformes,Citharidae,5,2,20,2,0,2,0,2,0,2,0,2,0,20,0,18,0,9,0,20,0,20,0
Pleuronectiformes,Cynoglossidae,85,27,137,26,0,22,0,9,0,26,0,26,0,131,0,112,0,45,0,126,0,123,0
Pleuronectiformes,Soleidae,67,21,163,21,0,20,0,10,0,21,0,21,0,156,0,116,0,47,0,156,0,142,0
Pleuronectiformes,Psettodidae,5,1,7,1,0,1,0,1,0,1,0,1,0,3,0,3,0,2,0,3,0,2,0
Esociformes,Umbridae,6,3,24,0,3,0,3,0,3,0,3,0,2,0,24,0,24,0,18,0,24,0,14
Osmeriformes,Plecoglossidae,2,1,42,1,0,1,0,1,0,1,0,0,0,42,0,42,0,42,0,42,0,0,0
Scorpaeniformes,Agonidae,44,25,251,25,0,24,0,14,0,25,0,23,0,230,0,165,0,62,0,225,0,191,0
Scorpaeniformes,Ereuniidae,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scorpaeniformes,Normanichthyidae,1,1,3,1,0,1,0,1,0,1,0,1,0,3,0,3,0,3,0,3,0,3,0
Scorpaeniformes,Psychrolutidae,20,10,72,10,0,9,0,3,0,9,0,7,0,64,0,54,0,33,0,61,0,40,0
Scorpaeniformes,Hexagrammidae,14,8,118,8,0,8,0,8,0,8,0,8,0,103,0,88,0,52,0,94,0,70,0
Scorpaeniformes,Zaniolepididae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scorpaeniformes,Hoplichthyidae,6,1,5,1,0,1,0,0,0,1,0,1,0,5,0,5,0,0,0,5,0,5,0
Scorpaeniformes,Platycephalidae,91,36,230,32,0,21,0,11,0,23,0,17,0,186,0,116,0,62,0,144,0,99,0
Scorpaeniformes,Anoplopomatidae,2,1,21,1,0,1,0,1,0,1,0,1,0,21,0,21,0,15,0,21,0,19,0
Siluriformes,Siluridae,49,8,224,1,5,1,4,0,4,1,4,0,4,2,60,2,54,0,34,2,51,0,43
Siluriformes,Trichomycteridae,163,19,122,0,19,0,19,0,10,0,19,0,19,0,122,0,122,0,80,0,122,0,118
Siluriformes,Sisoridae,164,21,182,0,20,0,17,0,12,0,19,0,17,0,173,0,156,0,139,0,172,0,164
